calumniate	…を中傷する,を悪口を言う
calumniation	中傷
calumny	中傷,誹謗(ひぼう)
calve	〈雌牛が〉子を産む / 〈氷河・氷山などが〉一部分離する
calves	calfの複数形
calvities	はげ,はげ頭
calyces	calyxの複数形
calypso	カリプソ(西インド諸島に始まった民謡)
calyx	(花の)がく(萼)
cam	カム,歪(わい)輪(機械の回転運動を水平・上下などの運動に変える)
camaraderie	(特に同じ仕事,軍隊などでの)仲間意識,友情
camber	上反(うわぞり)(道路や船のデッキなどの,雨水などを端に流すための傾斜) / (自動車の,ふつう前輪の)上開き傾斜 / 上反になる / …を上反にする
cambium	形成層(植物の幹や根の木部と樹皮部の間にある柔らかな組織層)
cambric	(上等の)白麻布
came	comeの過去形
camel	『ラクダ』 / =caisson2
camelback	らくだの背 ボイラーの上に機関手室のある蒸気機関車 キャメルバック(タイヤ用の加硫しない再生ゴム)
camelhair	=camel's hair
camellia	ツバキ / ツバキの花
camels hair	ラクダの毛 / らくだ毛織り(柔らかな織物;コート・紳士服・セーターなどに用いる)
cameo	カメオ(浮き彫りをしためのう・貝殻などの装飾品) / 少量の,小規模の
camera	『カメラ』,写真機 / テレビ[用]カメラ
cameraman	(おもに映画・テレビの)カメラマン;カメラ業者,カメラ販売人
cami-knickers	半ズボン付き婦人用肌着
camisole	キャミソール(婦人用の昔の袖なし下着)
camomile	カミツレ(においの良い白と黄の花のキク科の植物)
camouflage	(戦場での)擬装,迷彩 / (一般に)カムフラージュ,変装,見せかけ(動物の保護色など) / …を擬装で隠す;…に迷彩を施す
camp	〈C〉(軍隊・登山隊・探検隊などの)『野営地』 / 〈C〉〈U〉野営のテント,仮設小屋 / 〈U〉野営,キャンプ[生活];軍隊生活 / 〈C〉夏季キャンプ場,サマーキャンプ / 《集合的に》野営する人たち,キャンプする人たち / 〈C〉(主義・信条などを同じくする)同志たち,同じ陣営;同じ立場 / 『野営する』,キャンプ生活を送る《+『out』》 / =homosexual / (男性が)女々しい / すたれた,古めかしい
camp bed	折りたたみ式簡易ベッド
camp chair	折りたたみ式の軽いいす
camp craft	キャンプ生活法,キャンプの技術
camp meeting	キャンプ伝道集会(野外またはテント内で行われる宗教的な集まり)
campaign	(ある目的を持った一定地域での)『軍事行動』,作戦,戦闘 / (政治的・社会的・商業的などの目的で行われる)(…の)『運動』,(特に)宣伝戦,選挙運動《+『against』』(『for』)+『名』》 / (…の)運動に参加する,選挙運動をする《+『against』(『for』)+『名》
campaigner	活動家; 宣伝家
campanile	(特に,他の建物と離れて建っている)鐘楼
campanologist	鋳鐘師;鐘の研究家
campanology	鋳鐘術,鳴鐘法;鐘学
campanula	ホタルブクロ(つり鐘状の花をつける植物)
camper	キャンプをする人;夏季キャンプ参加児童 / キャンパー(キャンプの設備のある車,また車で引くキャンプ設備車)
campfire	(暖房または炊事用の)野営地のたき火,キャンプファイアー / (キャンプファイアーを囲んで行う)懇親会
campfire girl	キャンプファイアーガールズの一員
campground	キャンプ場〈C〉
camphor	樟脳(しょうのう)
camphor ball	(虫よけ用などの)樟脳の玉
camphorate	…に樟脳を入れる,を樟脳で処理する
camping	野営,キャンプ
campion	センノウ・マンテマなどナデシコ科の多年草
camporee	キャンポリー(ボーイスカウトの地方集会)
campsite	キャンプ場(ふつう炊事施設がある)
campstool	携帯用折りたたみいす
campus	(大学などの)『構内』,キャンパス;学園 / 《米》(大学の)分校
campy	風変わりな,気取った,芝居がかった
camshaft	カム軸(カムを支え回転させる軸)
can	《能力》『…することができる』 《可能性・推量》 《平叙文で》『…であり得る』 し得る,かもしれない 《否定文で》…のはずがない,ではあり得ない 《疑問文で》いったい…だろうか 《話》《許可・軽い命令》『…してもよい』 …してあげよう;《疑問文で》…してくれませんか / 『かん』(取っ手・ふた・口のついた金属・プラスチック製容器・コップなど) / 《米》(かん詰めの)『かん』,かん詰め(《英》 tin) / かん1杯(の…)《+『of』+『名』》 / …をかん詰めにする(また《英》 『tin』) / 《米俗》…をくびにする / canceled / cancellation / canon / canto
can't	cannotの短縮形
canaille	下層民,烏合(うごう)の衆,愚民
canal	『運河』 / (食道・気管などの)導管 / (火星の表面に見える)運河状の地形
canal boat	運河で使う長い平底船
canalization, canalisation	運河化,運河建設,導水路整備(川や土地に運河や水路を造ること) / (解剖学)導管化,管状構造への変化 / (心理学)行動の定型化、習慣化
canalize,canalise	〈ある場所〉に運河を開く,〈川〉を運河にする
canape,canapé	カナッペ(薄いパンの上に,チーズ・肉などを載せた前菜)
canard	虚報,流言
canary	〈C〉『カナリア』 / (また 『canary yellow』)〈U〉カナリア色,淡黄色 / (また 『canary wine』)〈U〉カナリア諸島産ぶどう酒 / カナリア色の
canary wine	=canary
canary yellow	=canary
canasta	カナスタ(カードゲームの一つ)
canc.	canceled / cancellation
cancan	カンカン踊り(女性が脚を高く振り上げスカートを振る踊り)
cancel	〈約束や注文など〉を『取り消す』,無効にする / (線などを引いて)…を『消す』,消除する《+『名』+『out,』+『out』+『名』》〈切手など〉に消印を押す / 〈事が〉〈相反する事〉を帳消しにする,相殺する,償う《+『名』+『out,』+『out』+『名』》 / 〈方程式の左右の共通の項が〉約される,消去される
cancellation	〈U〉(…の)まっ殺,取り消し,削除《+『of』+『名』》 / 〈C〉消印
cancer	〈U〉〈C〉『がん』 / 〈U〉〈C〉害悪 / 《Cancer》(星座の)カニ座
cancer stick	(普通の紙巻き)たばこ
cancerology	がん腫学
cancerous	がんの;がんにかかった
candela	カンデラ(光度の単位) 燭台(しょくだい)
candescent	(特に熱のため)輝いている,白熱の(する)
candid	率直な,腹蔵ない,遠慮のない;(人に)率直な《+『with』+『名』》 / 《名詞の前にのみ用いて》(写真が)相手が意識いないときにとった,ポーズをとらない
candidacy	立候補;候補資格(《英》candidature)
candidate	(…の)『候補者』,志願者《+『for』+『名』》
candidature	=candidacy
candied	砂糖づけの,砂糖煮の / 口先のうまい
candle	『ろうそく』
candlelight	ろうそくのあかり,灯火 / 火ともしごろ,夕暮れ時
candlepin	(tenpinsのゲームに用いる円筒形の)ボウリング用ピン
candlepower	燭光(しょっこう)(candelaで測る)
candlestick	ろうそく立て,燭台(しょくだい)
candlewick	ろうそくの芯(しん)
candor,candour	率直,正直;公平,公正
candy	《米》『砂糖菓子』,キャンデー(《英》sweets) / 《英》氷砂糖(sugar candy) / …を砂糖づけにする 砂糖で煮る / (煮つめて)…を結晶させる / …を甘くする / 氷砂糖状に固まる
candy floss	綿(わた)菓子(=cotton candy)
candy striper	病院で奉仕する若い女性(はでなしま柄を着ることから)
candytuft	マガリバナ(白・ピンク・馬の花が咲く観賞用植物)
cane	〈C〉(トウ・タケ・サトウキビなどの)『茎』 / 〈C〉ステッキ,トウヅエ / 〈C〉むち / 〈C〉canes(サトウキビの茎) / 〈家具〉をトウで作る(修理する)
cane sugar	甘蔗(かんしょ)糖,蔗糖
canine	犬の;犬のような / 犬;イヌ科の動物(オオカミ,コヨーテなど) / (また『canine tooth』)犬歯
canine tooth	=canine2
canister	(タバコ・コーヒー・茶などの)金属容器,かん
canker	〈U〉(特に口中の)潰瘍(かいよう) / 〈U〉(樹木の)がん腫病 / 〈C〉(人・社会に)害毒になるもの,病根,弊害 / 〈樹木が〉がん腫病になる
cankerous	潰瘍(かいよう)性の;潰瘍にかかった / 腐敗(腐食)させる
cankerworm	シャクトリムシ(シャクトリガ類の幼虫)
