hypertrophy	(生物体の部分・器官の)異常肥大,異常発達
hyphen	ハイフン,連字符(2語を連結したり改行のため1語を分割するときに用いる記号(‐)) / =hyphenate
hyphenate	〈語〉をハイフンで分ける(切る);〈語など〉をハイフンで連結する
hyphenated	ハイフンつきの;外国系の
hyphenation	(単語の)ハイフンによる分割(連結)
hypnosis	催眠;催眠状態 / =hypnotism
hypnotic	催眠の,催眠のような;催眠術の(に関する) / 眠りを誘う / 催眠薬,眠り薬 / 催眠術にかかりやすい(かかっている)人
hypnotic suggestion	催眠術による暗示
hypnotism	催眠術
hypnotist	催眠術師
hypnotize,hypnotise	〈人〉を催眠状態にする,に催眠術をかける / 〈人〉を魅惑する
hypo	定着液,ハイポ[hypo-sulfiteの短縮形] / 皮下注射器[hypodermicの短縮形]
hypocenter	(地震・核爆発の地下の)震源地
hypochondria	心気症,ヒポコンデリー(健康を過度に心配して起こるノイローゼ)
hypochondriac	心気症患者 / 心気症の
hypocrisy	偽善;〈C〉偽善的行為
hypocrite	『偽善者』
hypocritical	偽善の,偽善的な
hypodermic	皮下の / 皮下注射;皮下注射器
hypodermic syringe	皮下注射器
hypoglycemia	低血糖症,血糖減少症
hypotension	低血圧[症]
hypotenuse	(直角三角形の)斜辺
hypoth.	hypothesis / hypothetical
hypothecate	…を仮定する;…という仮説を作る《+『that節』》 / 仮説を立てる
hypothermia	低体温;(医療における)体温低下[法]
hypothesis	仮説,仮定,前提
hypothesize,hypothesise	仮説を立てる / 〈仮説〉を出す,立てる;…‘という'仮説を立てる
hypothetic, hypothetical	仮説の;前提の,仮定の / (三段論法など)仮言的な
hypothyroidism	甲状腺機能不全
hyrax	ヒラックス,ハイラックス(ウサギに似たひづめのある小動物)
hyssop	ヒソップ,ヤナギハッカ(芳香のあるハッカ属の草) / ヒソプ(聖書で,この小枝を水に浸して清めの儀式に用いた)
hysterectomy	子宮切除
hysteria	ヒステリー / (一般に)病的興奮;(群衆などの)熱狂,狂乱
hysteric	=hysterical / 《複数形で》ヒステリーの発作 / 〈C〉ヒステリー患者
hysterical	ヒステリー[性]の;ヒステリー症にかかった(かかりやすい) / 病的に興奮した / 《話》爆笑を引き起こすような,非常におかしい
hysterically	ヒステリーを起こして;異常に興奮して
