Crimea	クリミア半島(旧ソ連ウクライナ共和国の一地方)
Croatia	クロアチア(旧ユーゴスラビア連邦を構成した一共和国)
Cromwell	クロムウエル(Oliver Cromwell;1599‐1658;英国の清教徒の政治家・護民官)
Crow	〈C〉〈U〉クロー族[の人](米国Montana州東部のアメリカインディアンの一族) / クロー語
Cs	cesiumの化学記号
Cu	copperの化学記号
Cuba	キューバ(西インド諸島中最大の島で共和国;首都はHavana)
Cuban	キューバ[人]の / キューバ人
Cupid	キューピッド(ローマ神話の恋愛の神;彼の矢に当たった者は恋に悩むという;ギリシア神話のErosに相当する)
Curie	キュリー夫人(『Marie』 ~;1867‐1934;夫のPierreと協力してラジウムを発見したフランスの化学者) / 〈C〉《C-》キュリー(放射能の単位)
Cyclops	サイクロプス(ギリシア神話で,Sicily島に住んでいたという一つ目の巨人)
Cypriot, Cypriote	キプロス島人;〈C〉キプロス島の,〈U〉キプロス島語
Cyprus	キプロス(地中海東部の島で共和国;首都はNicosia)
Cyrillic	キリール文字の(昔スラヴ民族が用いた文字)
Czech	チェコ人;〈U〉チェコ語 / チェコ人の,チェコ語の
Czechoslovak	チェコスロバキア人 / チェコスロバキア[人]の
Czechoslovakia	チェコスロバキア(ヨーロッパ中部の国;首都Prague)
Czechoslovakian	{形}チェコスロバキアの / チェコスロバキア人の / 〈C〉チェコスロバキア人
c.	cent,cents / circa / centimeter / cubic / century / copyright / chapter
c.c.,cc.,cc	cubic centimeter[s]立方センチメートル
c.d.	cash discount現金割引
c.g.	center of gravity重心
c.l.	carload / civil law / common law
c.p.	candlepower / chemically pure
c.s.	capital stock / civil service
c.w.o.	cash with order 現金払い注文
c/f	carried forward(簿記で)繰越し
c/o,c.o.	[in] care of …『気付』,…方
ca	circa
ca.	circa
cab	《おもに米》タクシー(=taxicab) / 昔のつじ馬車 / (トラック・機関車などの)運転台,運転室
cab rank	《おもに米》タクシー乗り場(《英》taxi rank)
cabal	《集合的に》陰謀団 / 陰謀 / 徒党を組む,陰謀を企てる
caballero	スペインの紳士(騎士) / (米南西部で)乗馬者,騎手 / (米南西部で)婦人の供をする人;婦人の崇拝者
cabana	小屋 / (海上浴場の)更衣所
cabaret	〈C〉キャバレー(飲食しながらダンスや余興を楽しめるレストラン) / 〈U〉キャバレーの余興
cabbage	『キャベツ』 / (食用の)キャベツの葉
cabby, cabbie	タクシーの運転手,つじ馬車の御者
cabdriver	タクシー運転手
caber	(力試しの競技で投げる)木の柱 / 柱投げ競技
cabin	(通例,木造1階建ての)『小屋』 / 『船室』;(飛行機の)客室
cabin boy	キャビンボーイ(船客・高級船員つきのボーイ)
cabin class	(客船の)特別2等(first classとtourist classの中間)
cabin cruiser	キャビンクルーザー(居室付きの行楽用モーターボート)
cabinet	『キャビネット』(引出し・たな・仕切などのある箱・戸だな) / 《しばしばCabinet》《集合的に》《単数・複数扱い》『内閣』,(内閣の)閣僚連 / 《英》閣議 / 《古》小さい個室
cabinetmaker	木工家具職人,指物(さしもの)師
cabinetmaking	家具の製作 / 家具製作業(技術)
cabinetwork	高級家具 / 家具製作
cable	〈C〉〈U〉 / (麻・針金をより合わせた)『太綱』 / 〈C〉〈U〉 / (電信などの)『ケーブル線』,被覆電線 / (またcablegram)〈C〉『海底電信』,外国電報 / …を太綱でつなぐ / …にケーブルを敷く / 〈通信〉を『海外電報で送る』
cable TV	有線テレビ
cable car	ケーブルカー
cable railway	ケーブル鉄道
cable['s] length	ケーブル,鏈(れん)(海上の距離を示す単位;100尋(ひろ)=1/10海里)
cablegram	〈C〉海底ケーブルを使って送信される電報のこと《古》
caboodle	一群の人(物),ひとかたまり,一団
caboose	乗務員車(貨物列車の最後尾につき調理・宿泊設備がある;《英》guard's van)
cabriolet	1頭立て2人乗りほろ馬車
cacao	カカオの木(熱帯アメリカ原産) / カカオの実(チョコレート・ココアの原料となる)
cacciatore	カチャトーレの(トマトやきのこを煮こんだ料理)
cachalot	=sperm whale
cache	(食糧・武器などの)隠し場所,貯蔵所 / 隠しておいた物,貯蔵物 / (隠し場所に)…を隠す,貯蔵する
cachepot	飾り植木鉢
cachet	〈C〉品質の良さを示す特別の表示 / 〈U〉高い身分 / 〈C〉(薬の)カプセル,オブラート
