Y	yttrium(イットリウム)の化学記号
Y,y	〈C〉英語アルファベットの第25字 / 〈C〉Y字形[のもの] / 〈U〉〈C〉(数学で)第2未知数(量)
Y-chromosome	Y染色体
Y.T.	Yukon Territory
YMCA,Y.M.C.A.	Young Men's Christian Association《通例 the YMCA,Y.M.C.A.》キリスト教青年会
YMHA	Young Men's Hebrew Association ユダヤ青年団
YWCA,Y.W.C.A.	Young Women's Christian Association《通例 the ~》キリスト教女子青年会
YWHA	Young Women's Hebrew Association ユダヤ女子青年団
Yahweh, Yahwe	ヤハウェ,エホバ(聖書にある神の名)
Yangtze	揚子江(東シナ海に注ぐ中国第一の大河)
Yank	=Yankee
Yankee	ヤンキー / 《米》New England出身の人(住民);(一般に)北部生まれの人(に住む人) / (南北戦争の時の南軍から見ての)北軍側の人(兵士) / アメリカ人
Yankee Doodle	米国独立戦争当時の流行歌
Yb	ytterbium(イッテルビウム)の化学記号
Yellow River	(中国の)黄河
Yellow Sea	黄海(東シナ海北部の海)
Yellowstone National Park	イエローストン国立公園(米国 Wyoming 州西部および Montana, Idaho 両州の一部にまたがる雄大な風景の国立公園)
Yemen	イエメンアラブ共和国(アラビア半島南西部の共和国;首都 San‘a;正式名 Yemen Arab Republic) / 南イエメン,イエメン民主人民共和国(アラビア半島南部の共和国;首都 Aden;正式名 People's Democratic Republic of Yemen)
Yeoman of the Guard	(英国王室の)親衛兵
Yiddish	イディッシュ語(ドイツ方言にヘブライ語・スラブ語などの混じった言語で,特に東ヨーロッパ出身のユダヤ人の間で用いられる)
Yin and Yang	(中国思想の)陰と陽(否定的で女性的な陰と肯定的で男性的な陽の二つの原理;この両者によって運命が左右される)
Yippie	イッピー(1960年代に反戦的な政治活動をした学生グループの一員)
Yom Kippur	贖罪の日(ユダヤ教の大祭日;断食して,終日ざんげの祈りを唱える)
York	ヨーク(英国北東部 Yorkshire の首都) / ヨーク家(『the House of York』;白ばらを紋章とした3代にわたる英国の王家;1461‐1485)
Yorkshire	ヨークシャー(英国イングランド北東部の州)
Yorkshire pudding	ヨークシャープディング(小麦粉に卵・牛乳を加え,肉汁をかけて焼いたもの;英国の典型的な食べ物の一つ)
Yorkshire terrier	ヨークシャーテリア(長いむく毛の愛玩用小型犬)
Yosemite National Park	ヨセミテ国立公園(米国 California 州にあり,滝・大渓谷・巨木林がある)
Yucatan	ユカタン半島(カリブ海とメキシコ湾との境をなしている半島)
Yugoslav	ユーゴスラビア人;ユーゴスラビアの
Yugoslavia	ユーゴスラビア(ヨーロッパ南東部の共和国;首都は Belgrade)
Yukon	ユーコン州(カナダ西北部の州) / 《the~》ユーコン川(カナダ西北部から Alaska を貫流して Bering 海に注ぐ)
Yukon Territory	ユーコンテリトリー(カナダ北西部の準州)
Yule	クリスマス(Christmas) / =Yuletide
Yule log	クリスマス前夜に炉にたく大薪
Yuletide	《ときに y-》《おもに詩》クリスマスの季節
y	y-axis
y-axis	(グラフの)y軸,縦軸
y.	year / yard
yacht	『ヨット』,(大型で豪華な発動機つきの)快走船 / ヨットに乗る,ヨットを走らせる,ヨット競走をする
yachting	ヨット遊び,ヨット航海(競走);ヨット操縦術
yachtsman	ヨット操縦者;ヨット所有者
yachtswoman	女性のヨット操縦者(所有者)
yah	やあい(あざけり・軽べつを示す)
yahoo	〈C〉乱暴者,粗野な人,無教養の人 (ジョナサン・スウィフトの小説『ガリヴァー旅行記(Gulliver’s Travels)』に登場する「ヤフー族(Yahoos)」が語源) / YahooはIT企業; ポータルや検索サービスの名称
yak	ヤク(チベット・中央アジアの荷物運搬用の毛の長い牛) / のべつまくなしにおしゃべりする / のべつまくなしのむだ話(おしゃべり)
yam	ヤム(熱帯産のつる植物);その根(食用) / 《米》サツマイモ
yammer	めそめそ不平を言う,こぼす / 大声でしゃべり続ける
yang	(中国思想の)陽
yank	…をぐいと引っ張る / (…を)ぐいと引っ張る《+at+名》 / ぐいと引っ張ること
yap	〈犬が〉やかましくほえる / 《俗》うるさくしゃべる《+on(away)》 / 〈C〉(犬の)やかましいほえ声 / 〈U〉《俗》やかましいおしゃべり
yard	ヤード(長さの単位で3フィート,約91.4センチ;《略》yd.(複 yds.));(日本で布を測るときの)ヤール / (特に建築業で)1立方ヤード / 帆げた / (家・建物の周囲またはそれらに囲まれた)『庭』,中庭,構内 / (家畜などの)囲い,おり / 《しばしば複合語を作って》仕事場,作業場,製造場;(駅の)操車場 / 《the Yard》《英話》=Scotland Yard
yard goods	(ヤード単位で売られる)反物
yardage	ヤード単位
yardarm	(帆の)桁端(帆桁の両端)
yardmaster	(鉄道の)構内主任
yardstick	ヤード差し,ヤード尺 / (判断・比較などの)基準,尺度
yarmulke, yarmelke	ユダヤ人男子が礼拝のときなどにかぶる頭巾
yarn	〈U〉(織物・編み物用の)『糸』 / 〈C〉《話》物語,話;(特に)長い冒険談,ほら話 / 長話(ほら話,冒険談)をする
yarrow	[セイヨウ(西洋)]ノコギリソウ(強壮剤・収れん剤に用いる植物)
yashmak	イスラム教徒の婦人が人前で顔を見せないためにかぶるベール
yaw	〈船・飛行機などが〉針路からそれる / 船首揺れ,(飛行機・ロケット・ミサイルなどの)偏揺れ / 偏揺れ角度
yawl	(2本マストの)小型帆船 / (オールでこぐ)船載ボート
yawn	『あくびをする』 / 〈口・割れ目などが〉大きく開く / …とあくびをしながら言う / 『あくび』
yaws	いちご腫
yclept, ycleped	《古》…と呼ばれる
yd.	yard[s]
ye	=you / 《主格で特に呼びかけとして》なんじ[ら]は(が) / =the(擬古文においてしばしばつかわれる.15世紀にþ(=th)をyと混同したことから)
yea	はい,さよう,しかり / 全く,実に,げに / 賛成,肯定,賛成の返事,賛成投票[者]
yeah	=yes
year	〈C〉(グレゴリオ暦で1月1日に始まり12月31日に終わる)『年』,暦年(calendar year) / 〈C〉(任意の時からの)『1年間』,12か月 / 〈C〉年度;(特定の)1年 / 〈C〉…『歳』;《複数形で》年齢 / 《複数形で》老齢(old age) / 《複数形で》長い年月,長月,多年 / 《複数形で》時代 / 〈C〉(天文学上の)暦年
year-round	一年じゅうの / 1年じゅう
yearbook	年鑑,年報 / 《米》卒業記念アルバム
yearend	年末の
yearling	(動物の)満一年子(2年目にはいったものをいう) / 当歳の
yearlong	一年じゅうの;一年間続く
yearly	『年1回の』;毎年の / 1年間の,年間の / 年1回,毎年
yearn	『あこがれる』,慕う,熱望する:《『yearn for』(『after』)+『名』》…にあこがれる / (…に)同情する,(…を)気遣う《+over(for)+名》
yearning	あこがれ,思慕,熱望:《yearning for+名》…へのあこがれ / あこがれの,熱望の
yeast	イースト,酵母(パン種・ビール醸造用などに使う)
yeasty	酵母の,酵母を含む;酵母のような / 泡立つ / 元気にあふれた,いきいきした
yegg	強盗,(特に)金庫破り強盗
yell	(…を求めて)『大声で叫ぶ』《+for+名》;(…に)大声をあげる《+at+名》 / (…に向かって)…を叫んで(大声で)言う《+out+名(+名+out)+at(to)+名》 / 『叫び声』,金切り声,わめき
yellow	『黄色の』 / 皮膚の黄色い / 《俗》おく病な(cowardly) / (新聞が)センセーショナルな,扇情的な / 〈U〉『黄色』 / 〈C〉黄色いもの;卵黄 / 〈U〉〈C〉黄色の絵の具(顔料,染料),黄色の服 / …を黄色にする / 黄色になる
yellow fever	黄熱病(マラリア性熱病の一種)
yellow flag	=yellow jack 2
yellow jack	=yellow fever / (また yellow flag) / 黄色旗,検疫旗(検疫中の船や病院が掲げる黄色い旗)
yellow jacket	スズメバチ
yellow pages	(電話帳の)職業別欄
yellowbellied	おく病な,ひきょうな
yellowbelly	おく病者,ひきょう者
yellowhammer	キアオジ(ヨーロッパ産ホオジロ属の小鳥) / 北米産のキツツキの一種
yellowish	黄ばんだ,黄色がかった
yelp	〈犬などが〉キャンキャンほえる;〈人が〉悲鳴(叫び声)をあげる / (犬などの)キャンキャン鳴く声;(人の)短い叫び声(悲鳴)
yen	『円』(日本の通貨単位;《略》\) / (…に対する)切望,あこがれ《+for+名》,(…したいという)切望《+to do》 / (…を)熱望する,切望する,あこがれる《+for+名》,(…したいと)切望する《+to do》
yeoman	《英》自作農 / 《米》(海軍の)事務係下士官 / 《英》(また yeoman of signals)(海軍の)信号係下士官 / 《英》=Yeoman of the Guard / 《古》(王室などの)衛士
yeoman service	忠実な奉仕,忠勤
yeomanry	地方の地主,自作農 / 義勇農騎兵(現在では英国民義勇軍(Territorial Army)に編入されている)
yep	うん(yes)
